ID,캐릭터 이름,이벤트 함수,표정,애니메이션,Script
S1L8_PRE_01,안나,AnimStory,,Anna_Wake,
S1L8_PRE_02,안나,DialogueStory,Anna_Confusion,,{fade a=3.5} 아야야… 방금 실이 끊어져 버려서 깜짝 놀랐네.
S1L8_PRE_03,안나,DialogueStory,Anna_Blank,,{fade a=3.5} 그나저나# 아까 그 커다란 가위는 어디로 사라진 거지?
S1L8_PRE_04,,Event4-1,,,
S1L8_PRE_05,안나,DialogueStory,Anna_Blank,,{fade a=3.5} 휴… 모르겠다. 일단 이곳을 좀 더 살펴보는 수밖에.
S1L8_PRE_06,결연옹,Event4-2,Ghost_Smile,,{fade a=3.5} 宿世結業同生一處是非相問上拜白來…
S1L8_PRE_07,안나,DialogueStory,Anna_Blank,,{fade a=3.5} 어라 여기 나 말고도 또 다른 사람이 있나보네?? \n어디서 나는거지?
S1L8_PRE_08,,Event4-3,,,
S1L8_PRE_08,안나,DialogueStory,Anna_Blank,,{fade a=3.5} 저기요#  할아버지!! 혹시 누구세요???
S1L8_PRE_09,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5} 宿世因果# 輪廻不絶.\n<b>운명이 크게 뒤틀린 자로구나.</b>
S1L8_PRE_10,안나,DialogueStory,Anna_Confusion,,{fade a=3.5} 네 저요?
S1L8_PRE_11,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5} 그래. 네가 이곳에 있다는 그 사실 하나만으로도\n그게 증명이 된다.
S1L8_PRE_12,안나,DialogueStory,Anna_Confusion,,{fade a=3.5} 도대체 이곳이 어디길래 그러는 거예요?
S1L8_PRE_13,결연옹,Event4-4,Ghost_Smile,,이곳은… 죽은 영혼들이 저승에도#  이승에도 머물지 못하고 흘러드는 중간의 땅.
S1L8_PRE_14,결연옹,Event4-5,Ghost_Smile,,<b>구천이라 불리는 경계의 세계다.</b>
,,Event4-6,,,
S1L8_PRE_15,안나,DialogueStory,Anna_Confusion,,{fade a=3.5} 구천...? 그럼 저는.... 죽은 건가요?
S1L8_PRE_16,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5} 아니 꼭 그런 것 같아 보이진 않는구나. \n 다만 너의 <b>인연의 실</b>에는 문제가 많아 보이는구나.
S1L8_PRE_17,안나,DialogueStory,Anna_Confusion,,{fade a=3.5} 인연의 실에... 문제요...?
S1L8_PRE_18,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5} 그래. 내 이름은 결연옹. \n <b>사람들 사이에 이어진 인연의 실</b>을\n눈으로 볼 수 있는 자이지.
S1L8_PRE_19,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5} 세상에는 수많은 인연들이 실로 이어져있단다.\n한 번만 보고 말 인연#  시작은 좋았으나 끝은 좋지 않은 인연#\n서로를 구원해줄 인연 등등 말이다.
S1L8_PRE_20,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5} 하지만 그 모든 것 중에서 가장 강력한 인연들이 있으니# \n<b><color=red>절대 이어지는 인연을 나타내는 붉은색 실의 홍연</color>과\n<color=blue>절대 이어지지 않는 인연을 나타내는 푸른색 실의 청연</color>이다.</b>
S1L8_PRE_21,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5} 너는 이상하게도#  이런 가장 강력한 인연들의 영향을\n동시에 받고 있는 듯하구나.\n보통 이런 일은 잘 없는데… 흠#  흥미로운 일이군.
S1L8_PRE_22,안나,DialogueStory,Anna_Confusion,,{fade a=3.5} 그럼... 저는 어떻게 해야하는거죠?\n저는 여기 있어야 할 사람도 아닌데 갑자기 끌려온 거라고요!
S1L8_PRE_23,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5} 너의 운명에 얽힌 비밀은\n<b>인간의 운명을 결정하는 ‘운신’님만이</b> 알고 있을 것이네.
S1L8_PRE_24,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5}"그 분이 직접 나서지 않는 이상\n네가 스스로 그 실마리를 찾아야 할걸세. \n너의 엉킨 인연의 실들을 이해하고#\n풀고# 다시 이어가는 것이 네가 해야 할 일이야."
S1L8_PRE_25,안나,DialogueStory,Anna_Determination,,{fade a=3.5}"저는 그냥 평범한 일상을 보내고 있었을 뿐인데...\n갑자기 이상한 운명이라느니# 엉킨 인연들이라니..."
S1L8_PRE_26,결연옹,DialogueStory,Anna_Blank,,{fade a=3.5} 아직도 실감이 잘 안 나지만 일단 <b>운신</b>인지 뭔지 하는 분을\n만나면 원래대로 돌아갈 수 있다는 말이죠?
S1L8_PRE_27,결연옹,DialogueStory,Ghost_Smile,,{fade a=3.5} 그래.
S1L8_PRE_28,안나,DialogueStory,Anna_Smile,,{fade a=3.5} 그러면 후딱 만나고 전 얼른 원래 세계로 돌아가야겠어요!!!
,,Event4-7,,,
